word,counts
dead,51
grass,13
invades,1
rid,13
living,76
green,216
dirty,121
maintain,7
dumpster,3
cachuma,1
bit,783
effort,41
rowrevtexthad,38
party,289
hibachi,39
waitress,442
brought,295
separate,62
sushi,479
plate,310
forgot,94
items,449
understand,169
mistakes,18
restaraunt,4
quiet,115
surprised,175
lively,28
cook,105
cooked,407
francisco,19
service,3117
fishy,13
hoping,73
night,973
money,315
rowrevtextmy,164
shalimar,3
wonderful,432
engagement,14
sized,56
phone,260
team,82
confirmed,14
jeweler,2
accommodate,49
sameday,6
request,75
simple,157
band,66
decrease,2
sizes,66
checked,129
size,295
left,551
pick,240
afternoon,128
mistake,71
should've,15
halfsize,1
completely,178
understanding,17
accommodating,99
resizing,1
charge,157
associates',1
attitudes,11
dealing,23
embarrassing,6
situation,67
instantly,19
earned,21
satisfaction,16
loyalty,11
grateful,19
rowrevtextlocals,1
milktooth,7
jewel,5
indianapolis,37
glade,1
rowrevtextlove,60
happy,678
dinner,698
patio,142
fans,59
beat,84
heat,98
alsovery,1
accomodating,7
location,798
veal,35
milanese,2
mixed,118
greens,78
pasta,192
modify,4
suit,34
taste,561
rowrevtextgood,41
foodloved,1
gnocchi,38
marinara,23
baked,157
eggplant,47
appetizer,235
slow,241
rowrevtextthe,280
bun,97
sonoran,10
dog,177
snuggie,1
pup,7
ridiculous,73
everyone's,17
blanket,7
sleeves,5
softness,2
smush,1
indulgent,4
wrong,286
warm,230
soft,151
chewy,40
fragrant,5
succeeds,1
famed,5
dogs,91
fail,27
hot,675
flavorful,184
prefer,109
bacon,350
bite,190
snap,9
hold,91
mustard,54
onions,123
masses,8
carne,47
asada,41
caramelo,6
excellent,700
tortilla,52
salty,102
melty,6
super,577
cheap,202
drive,238
rowrevtext'great,231
waffle,61
fluffy,43
fries,711
smashed,10
crunchy,69
back',154
rowrevtexttremendous,1
douglas,1
complemented,8
expensive,230
avg,1
atmosphere,645
comparable,25
tier,4
restaurants,381
country,82
hubby,48
occasions,43
loved,488
single,117
servers,174
bartender,203
knowledgable,30
asis,1
substitute,21
delete,4
safe,65
celiac,5
girl,141
cocktail,131
menus,75
spot,525
divine,32
glutenfree,25
dessert,300
sweet,625
deal,276
rowrevtext'i,606
blow,51
bar,1136
brows,12
natalie,5
brow,6
specialist,8
job,333
eyebrows,15
victoria,7
wow,97
impress,12
straight,71
hair,361
biggest,58
volume,20
didnt,39
place',77
absolute,56
cafe,188
black,154
amount,245
foam,5
soups,39
nonsoup,1
people,1180
noise,64
level,119
music,362
enjoy,408
patrons,63
bring,346
business,350
rowrevtextholy,3
smokes,4
pumpkin,34
pie,125
frozen,112
custardare,1
kidding,25
huge,444
sweep,4
nation,2
treat,122
chunks,45
crust,149
finding,83
diamond,18
inside,386
rowrevtextupland,1
brewery,55
based,149
bloomington,3
indiana,15
popular,69
couple,352
additional,58
central,24
fan,240
burgers,242
tenderloins,2
excited,148
pizza,942
margherita,16
crackerlike,2
toppings,125
flavor,547
sauce,932
typical,117
true,114
opinion,98
upland's,1
serve,219
sticking,7
choice,193
future,90
visits,68
chill,59
spend,144
friday,176
night',17
rowrevtextyes,7
town,405
craving,87
salmon,136
fish,392
love,1495
spicy,401
edamame,16
tempura,37
ocean,20
cabbage,32
stars,578
street,389
naked,4
tchopstix,1
closer,65
house,392
vibe,144
totally,178
geared,2
decent,362
dining,323
counter,245
deliver,49
daughter,109
bowl,169
piece,138
paper,84
select,24
proteins,3
vegetables,96
rice,429
guess,180
server,520
limiting,3
sauces,107
tasty,537
husband,426
maui,7
roll,334
standard,126
quality,536
consistently,70
bowls,44
comment,42
reviews,416
mcdonalds,23
slower,7
minutes,818
called,418
express,45
healthy,120
alternative,35
fast,386
worth,760
wait,1062
bubble,19
strawberry,52
vanilla,71
chai,27
rowrevtext'went,61
lunch,867
beef,359
brisket,85
awesome,698
juicy,89
pulled,141
pork,389
good',47
rowrevtext'best,50
thai,228
authentic,192
again',119
rowrevtext'service,19
crappy,32
mediocre,134
picked,125
town',22
wife,336
weekend,217
pleased,124
astounded,1
tasted,373
appreciated,78
sounding,5
choose,147
returning,93
chef,187
specials,154
meeting,38
spending,58
entrées,6
appetizers,145
flag,21
assistant,14
guy,265
bright,62
baggy,1
pants,30
watching,70
tv,97
avocado,76
entrée,12
direct,25
bill,168
dollar,74
avocado',1
rowrevtextfirst,55
feels,63
entering,24
someone's,17
waiters,41
funny,71
phenomenal,66
burgersfries,1
hint,37
salt,100
pepper,102
quaint,60
outdoor,124
seating,308
parking,400
helps,28
stays,16
stocked,42
custom,33
bagel',1
rowrevtexttook,5
vehicle,56
ago,254
manufacturer,3
recall,27
started,296
hearing,27
issue,164
kevin,15
mechanic,11
lifted,3
car,469
fixed,81
free,480
pay,322
outstanding,144
individuals,4
rowrevtextafter,40
rotd,1
yesterday,75
cece's,1
realized,88
reviewed,15
local,387
source,6
product,72
mix,114
notsohealthy,1
girls,83
paying,93
attention,140
remind,20
deals,35
rowrevtext'what,27
addition,128
funk,10
zone,14
grab,159
tastings,9
life,210
door,320
santa,123
barbara,95
collective,1
shares,5
tables,401
fabulous,115
savory,59
croissant',1
rowrevtext'nice,24
relaxing,66
massage,111
appointments,48
disappointed,378
therapist,13
center',2
rowrevtext'we,215
pm,285
checkin,25
complimentary,80
valet,35
peppermill,40
reminded,46
caesars,1
palace,5
vegas,29
site,37
offering,40
type,163
casino,77
rivaling,1
noticed,120
slot,13
machines,58
penny,23
play,112
minimum,24
bets,6
cents,21
talk,137
false,8
advertising,11
tuscany,12
tower,18
floor,185
view,133
pool,142
featured,15
wifi,66
likewise,3
shower,70
heads,26
jetted,1
bathtub,5
commode,2
dual,2
sinks,4
plenty,223
towels,43
supplied,7
roomy,11
stands,24
closet,15
mini,56
fridge,36
dresser,4
drawers,5
table,877
computer,18
writing,48
bottles,49
nicely,101
upholstered,1
chairs,77
thermostat,6
controlling,4
temperature,29
keeping,52
comfortable,202
courteous,75
helpful,422
stay',3
boyfriend,149
deli,62
turkey,89
panini,25
buffalo,78
wrap,81
soup,385
macaroni,23
rowrevtext'amazing,30
biscuits,85
fill,79
blank,9
though',21
rowrevtext'food,46
atmospheredecor,1
fishing,7
lodge,6
someplace,5
outback,12
bonefish,2
meals,173
calamari,82
rowrevtextstraight,1
tastes,121
edible,20
mashed,75
potatoes,191
lol,82
meat,459
ravioli,56
bomb,46
slicing,3
station,105
shrimp,582
deveined,3
worst,207
eggs,256
benedict,71
ham,52
english,43
muffin,23
steak,354
breaded,29
decor,252
nightmare,12
imagine,83
failed,22
rowrevtext'the,292
star,360
rating,98
pretentious,15
waiter,325
guest,57
hotel,575
palomar,1
stay,375
coworker,28
arrived,295
host,58
walked,366
looked,390
proceeded,54
seat,145
sitting,202
stumbled,39
reply,14
irritatedinconvinced,1
tone,19
fine,288
basically,104
walking,190
mid,23
sentence,8
brushed,6
conversation,96
drink,558
story,49
short,221
distant,1
bothered,21
split,120
company,120
transaction,5
policies,8
inconceivable,1
task,15
elevator,34
ride,65
shock,9
rudeness,8
experienced,86
mouth,128
decided,392
avoid,92
ensuring,7
nights,106
shift,14
greeted,110
feel,601
genuine,27
person,300
ben,10
lessons,9
whiskey,59
classic,104
invested,5
exceeds,2
redeemed,2
restaurantbar,2
terrible,212
wrapped,51
dates,17
chocolate,295
cake,333
die,114
bartenders,108
egg,205
spoiled,19
experience',44
rowrevtext'stopped,19
sunday,226
morning,253
walk,345
park,191
coffee,714
rowrevtext'in,12
overrated,14
forever,83
burger,720
overcooked,51
medium,116
rare,98
seafood,234
jumbalaya,6
horrible,149
heard,192
expected,169
better',16
rowrevtext'comfortable,2
internet,36
impressed,236
floors,39
morning',4
rowrevtextnever,7
prepare,29
patron,16
yard,19
flight,59
stairs,25
cash,96
sit,323
lawn,2
mildy,1
window,104
itkind,1
hamburger,32
live,316
lifetime,9
mejust,1
rowrevtext'if,39
carte,15
impressive,67
basket,42
chips,249
politely,19
spicier,10
pico,22
gallo,18
happily,26
salsa,181
coke,31
bottle,148
stated,57
fountain,42
pepsi,3
mentioned,86
drinks,697
priced,228
sour,102
cream,432
taco,145
extra,309
received,205
paid,174
condiments,17
bottled,17
suggestionwhen,1
charge',3
extremely,363
cute,189
jazz,54
playing,90
pieces,133
breakfast',3
rowrevtexton,9
scale,10
drawn,9
promise,18
duckfat,4
frenchfries,2
boy,101
birthday,186
corner,116
waited,278
seats,100
keith,4
congenial,2
knowledgeable,155
whiskeys,7
allaround,7
cool,349
cape,3
salts,5
tater,10
tots,26
kentucky,4
quail,10
stellar,32
succotash,2
exciting,25
fois,2
gras,34
incredible,141
could've,22
deterred,2
forward,138
artichoke,21
dip,87
cold,349
stale,36
adding,38
pricey,168
advocate,3
cardinals,4
game,165
venue,78
time',43
rowrevtextit,38
fiance's,3
laid,50
yelp,269
steered,7
jasmine,8
direction,13
decision,42
summer,80
rolls,235
settled,21
panfried,1
dumplings,47
duck,130
pad,62
dishes,366
stole,7
tastiest,11
noodle,63
dish,428
return,319
chili,88
issues,129
rushing,14
kimmel,2
takeout,91
missing,81
absolutely,346
courtney,4
hands,162
hairstylist,2
understood,22
limits,9
styles,16
salon,187
leave,253
blown,50
stylist,46
personality,19
lived,106
chain,116
sexy,8
oil,162
inspection,15
fancy,96
pep,5
boys,26
stuff,246
rowrevtext'replaced,2
lennox,1
runnong,1
now',12
brewpub,5
variety,228
nachos,71
crafted,12
sight,25
pace,17
friends,495
savor,4
kid,66
environment,89
vegetarian,141
vegan,112
seasonal,26
pumpkins,1
rowrevtext'farmhouse,1
rustic,26
chichelpful,1
decorate,6
prices,589
reasonable,271
joanna,1
gaines,1
fixer,1
upper,13
finally,329
sb,28
prices',5
brother,41
visit,564
pack,27
staying,101
nintendo,3
smash,5
brothers,24
donated,2
fellow,23
genuinely,19
staple,20
northeast,8
coconut,82
protein,25
milk,101
creamy,99
powering,7
herb,10
americanized,14
cuisine,82
cilantro,39
pat,14
peanut,70
generous,123
dry,256
rowrevtext'excellent,54
hospitable,9
goto,66
saturday,241
bummed,19
lucys,1
closed,113
pleasantly,66
careful,34
wtf,13
packed,171
lucky,79
sunny,14
crew,30
pop,48
rowrevtextwe,236
weary,4
shellfish,11
wharf,9
cannery,1
row,40
monterey,5
feast,8
captive,1
audience,7
substandard,4
fare,70
emboldened,1
perennial,3
suppressed,1
initial,26
observations,1
peak,25
luckily,45
rush,77
leveling,1
crab,336
lbs,11
california,73
soupchowder,1
trays,20
saladchowder,1
combo,78
hearty,27
portions,246
start,249
chowder,35
bisque,33
prattling,1
glorious,13
buttery,31
await,1
cracks,5
shells,16
thick,127
cracked,12
splinter,2
easily,99
perfection,89
crabs,14
provided,67
satisfied,85
devouring,3
sbsc,1
proposition,1
weaver's,2
disagree,7
content,16
convenience,34
shopping,131
woman,120
trouble,37
coop,5
shop,366
quantities,4
corporate,34
stores,77
acme,14
participating,1
membership,30
committee,1
community,44
tree,21
huggers,1
earth,23
children,70
similarlyminded,1
folks,108
backgrounds,4
locally,38
grown,15
produce,55
offers,90
natural,45
wholesome,8
preservativefree,1
foods,97
interacting,5
contributing,1
global,5
fee,48
prohibitive,1
family,458
solo,8
keen,6
committed,12
weaver,1
values,4
stick,83
visitors',2
while',1
rowrevtexthonestly,7
knock,23
socks,9
likes,32
bbq,264
depends,13
commercials,6
cheesy,36
classy,35
overpriced,124
cheapest,24
hotels,55
provide',1
stopped,220
guys,221
buy,206
ton,71
pizza',11
cannolis,6
freshly,41
filled,119
cannoli,21
termini,2
bros,4
rowrevtext'traveling,1
rv,6
granite,8
gem,131
cooking,84
yum',7
weeks,146
magazine,17
y'all,7
phò,1
damn,65
rowrevtext'our,21
returned,73
impeccable,26
recommend',43
kayaking,3
cruz,2
island,32
jen,16
informative,38
exploring,12
caves,2
expect,258
exceeded,27
expectation,12
rowrevtext'definitely,5
goat,100
crepes,26
have',3
ashamed,11
remorseful,3
admit,54
louis,131
tradition,18
missed,58
somanyyears,1
factory,23
fridaysunday,2
noonpm,1
event,116
wander,9
worry,44
dine,55
hefeweizen,1
personal,97
drinker,23
additionally,16
homegrown,2
recommendation,58
spectacular,64
admittedly,8
connoisseur,17
bison,17
hire,23
funky,27
tattoo,28
parlor,14
support,52
stand,91
emphasis,7
pricier,16
plain,86
allergic,7
unable,20
bites,49
drivethrough,2
complain,74
realize,70
openit,1
disappeared,13
awkwardly,7
rudely,18
apology,31
refuse,12
ordeal,4
shame,57
dt,2
freebirds,1
rowrevtext'first,35
wash,74
nara,2
month,141
acommodating,2
week,358
bought,124
total,114
freshness,6
eastside,3
rowrevtextawesome,17
loves,74
tires,43
rowrevtextbeen,12
florissant,3
panang,9
sister,74
move,117
rowrevtext'my,137
merited,1
design,56
concept,48
sadly,65
tomatobasil,3
weak,31
melt,34
sharp,21
offputting,5
citrusy,3
lemon,94
zest,4
overpowering,23
focus,31
cured,6
italian,239
meats,75
mortadella,4
prosciutto,30
sounded,36
nutella,11
bruschetta',1
visited,124
veggie,100
husband's,32
dough,63
machine,61
improved,33
rowrevtexta,55
milkshakes,15
creamnot,1
advantage,36
implies,2
blackwhite,3
malt,12
milkshake,26
thicker,14
sample,66
flavors,255
setting,80
mother,56
treatment,36
compliments,17
beautifully,47
decorated,43
occasion,45
wonderfully,19
memorable,44
rowrevtextman,1
ingredients,202
plates,125
dedicated,19
employees,195
crazy,102
list,194
reasonspros,1
nearby,86
including,134
year's,17
fits,15
schedule,51
chances,10
seated,308
dozen,50
oysters,177
sells,18
boiled,20
recognized,12
reasons,50
bunch,86
raw,61
cleaned,47
flexible,15
superior,25
centsoyster,1
cheaper,62
turtle,15
felix's,2
portion,230
shrimps,13
mushy,29
somhow,1
ambient,4
inviting,46
finished,120
simply,108
rowrevtext'skip,1
train,39
wreck,4
cluelesslike,1
lost,72
setups,1
refills,43
parmesan,42
bone,41
rowrevtextmeh,5
tds,1
literally,164
figuratively,2
boards,4
stainless,4
steel,6
prep,14
soda,63
identification,1
shirts,14
nametags,1
irked,1
trio,17
included,95
samples,39
salsas,14
oz,49
glass,156
tacos,331
mind,192
burritos,38
guacamole,72
he'd,17
blah,17
rowrevtexti'm,85
incredibly,112
pictures,58
angela,5
clifton,1
photography,4
picture,68
photos,34
keepsake,1
cherish,2
rowrevtext'enjoyed,2
sidewalk,13
quieter,11
outside',3
court,21
spiral,3
staircase,3
clock,8
surprising,16
mechanical,6
gears,2
prior,69
appointment,160
pleasure,56
positive,79
regular,232
girlie',1
rowrevtext'this,311
surprisingly,68
combination,61
expecting,84
disappoint,64
carp',1
stops,20
mention,117
artist,12
performing,6
version,53
love',5
rowrevtextid,1
smoothie,39
arena,11
surprise,96
lift,12
refreshed,3
importantly,30
varied,14
appeal,16
bars,88
spiked,7
lemonade,45
smoothies,22
sweets,27
funnel,6
cotton,5
candy,39
swanky,7
moving,72
rowrevtextdon't,25
tummy's,1
feeling,151
icky,5
count,27
chipotle's,1
stake,6
remember,155
peaceful,11
calm,31
blew,29
indian,142
tampa,106
bay,45
ambience,71
linens,9
omg,44
rich,87
angel,13
foodies,8
seek,12
nola,129
smart,16
reserved,30
benches,8
hassle,20
preservation,2
causejust,1
splurge,16
fantastic,373
musicians,15
personalities,2
boot,18
concerts,6
dapper,3
engaging,14
insanely,20
talented,29
tiny,104
wall,98
holds,13
intimate,32
smiles,21
share,134
rowrevtext'a,52
plans,15
rained,1
dealership,46
emissions,1
dread,1
ripoff,4
shops,65
keystone,2
discount,64
pontiac,1
torrent,1
irregular,1
outer,8
wear,36
rack,13
technician,24
major,72
correctable,1
alignment,4
straightforward,10
analysis,1
inspected,6
stickered,1
jacked,2
addons,4
mailing,2
coupons',1
sons,14
repaired,15
dropped,51
professional,174
thrilled,40
rowrevtextservice,20
management,137
messing,6
cursing,3
manager,352
offered,202
mess,67
nasty,47
cracker,19
barrel,15
hotelsjust,1
motel,14
heart,76
tentatively,1
lobby,61
labradorgolden,1
hide,9
desk,191
register,47
uneasy,3
bf,46
assured,24
reception,30
putting,45
attendant,14
bentley,3
treats,34
fullly,1
kit,5
holy,29
moly,4
guests,106
compliment,16
pet,39
queen,19
attendants,7
loews,5
dog',2
rowrevtextsometimes,2
consistent,52
kitchen,242
disappointing,119
beggars,2
belief,3
ribs,121
send,52
refrigerator,13
apologize,34
comp,10
fuss,13
comped,17
properly,44
insincere,2
pisses,2
ramen,69
selections,75
broth,67
cheu,9
matter,88
personally,69
noodles,126
friend,423
honestly,135
bigger,57
oddball,1
rowrevtextfederal,1
doughnuts,13
concession,2
ballpark,8
offer,272
cheesesteaks,31
brownies,12
cookies,79
rowrevtextlooks,2
kings,6
chinatown,24
replacing,6
helping,52
szechuan,14
shredded,30
garlic,178
spice,93
mouthburning,1
earthy,5
leftovers,49
sitdown,5
karaoke,19
upstairs,66
byob,64
busiest,9
chick,19
fil,10
manage,11
exceptional,71
rowrevtextbest,54
veggies,109
parents,70
oak,7
alley,17
laura,3
plantation,8
september,5
driverhe,1
plantations,2
properties,8
drop,50
jackson,15
square,47
quarter',3
brunch,319
immensely,3
grits,170
scallions,8
freezing,11
sweater',1
rowrevtext'love,62
placebest,2
aroundi,1
canyum',1
rowrevtext'sweet,2
waterline,2
notches,2
fig,13
mountain,12
topa,2
cooler,19
nook,9
feet,53
lama,2
billed,3
refunded,12
ticket,35
laughing,21
smiling,25
alligators,6
babies,8
swimming,20
turtles,2
birds,19
baby,80
alligator,15
raising,6
hatch,1
died,10
born,14
tricks,4
boat,40
tour',1
rowrevtext'westfall,1
replaced,47
roof,22
april,15
process,123
communication,27
chose,109
replace,34
roof',1
rowrevtext'good,53
ideal,29
approach,15
sense,60
bella,13
push,32
hardest,8
cheesesteak,55
protip,4
potato,222
fries',4
continue,55
satisfies,2
cravings,10
trendy,31
soooo,36
rowrevtext'had,50
barbecue,33
affordable,82
casserole,13
spinach,79
beans,223
beans',1
vegetarianvegan,4
rowrevtextgreat,153
waitresses,45
whatsoever,20
lovely,142
plane,12
franklin,18
brave,5
nashvilles,1
spots,95
holly,2
cow,18
kicked,17
corn,133
pancake,59
south,142
rowrevtextomg,11
exists,9
detailing,7
sat,290
michael,22
confirm,11
fri,4
head,118
distance,55
advised,20
agreed,54
reached,15
workshop,4
headed,33
alex,10
partner,38
appt,15
calling,50
horrendous,6
numerous,46
required,22
services,96
office,137
trustworthy,7
care,341
afraid,28
stayed,169
saint,15
girl's,2
ohh,5
ahh,4
accustomed,8
anywhereambiance,1
overkill,4
thinking,94
shhhh,1
set,178
laptop,16
manipedi,7
arrivesits,1
supervisionwe,1
giggling,2
ita,1
hugh,1
flying,23
roach,6
freaked,1
sending,8
maintenance,22
worker,19
handle,46
bold,8
cohorts,1
scenes,5
spiders,1
bugs,16
corners,10
lamps,12
bulbs,7
dont,52
purse,16
luggage,18
book,96
demand,10
gentlemen,11
apologizes,1
obliged,1
bless,5
dear',1
rowrevtextsay,1
doorand,1
project,11
building,123
supplies,20
random,32
bits,30
lumber,2
roofing,2
materials,13
paint,33
landfill,1
rowrevtextworst,9
bouncer,6
rude,200
broadway,15
tourist,24
rowrevtextstopped,28
girlfriend,84
rowrevtextso,68
levels,20
fallen,9
cliff,4
strike,13
shared,107
flesh,2
greek,136
bag,85
overdressed,5
tasteless,50
dressing,110
grilled,193
yellowtail,8
execrable,1
finish,106
inferiorfrozen,1
unacceptable,19
lower,56
dive,52
tourists,26
rowrevtextmilktooth,1
twist,29
traditional,111
glance,4
guarantee,10
indy,44
typically,56
trust,57
minute,154
faster,22
pastries,56
snack,45
preview,1
variations,7
dutch,3
raclette,1
boozy,7
pass,97
michelada,1
upgrade,25
honeymoon,9
gorgeous,48
hilton,17
rust,8
tub,36
weird,79
stains,10
tile,12
parked,29
streets,24
downtown,149
paced,6
moves,21
difficult,87
stretched,3
existed,10
broke,35
sweat,18
studio,31
organic,48
rowrevtext'not,26
lobster,131
massachusetts,2
favorites,92
england,10
purchase,90
yourself',2
rowrevtextfabulous,2
delish,58
rowrevtext'men's,1
clubs,19
tits,2
barbers,11
skills,18
hook,13
dude,16
steal,14
ryan,10
tim',1
rowrevtextoh,18
chickie's,8
pete's,9
watch,149
sports,90
indulge,18
doubt,63
mussels,57
stadiums,4
favs,5
overloaded,2
pull,47
peel,6
steamers,3
mood,79
blue,130
rinse,3
donegood,1
touch,106
philadelphia,108
institution,10
sporting,13
events,50
drunk,47
annoying,43
frame,18
rowrevtext'prompt,1
mirror,8
charlotte,5
too',51
union,6
ponchartrain,2
tilapia,12
names,40
clue,24
mushrooms,95
lump,10
appetizersboth,1
acceptable,16
dined,23
weather,61
comfy,52
casual',1
unique,192
pete,36
detail,58
remodel,15
harry,10
potter,3
movie,67
background,31
hear,130
libraryesque,1
peggy,1
eaten,188
speak,103
meatcheese,2
maple,28
patisserie,3
bombcom,6
blueberry,42
specialty,55
cakes,94
swing,13
mardi,20
ziggy,8
running,108
scrumptious,16
rowrevtextreally,23
bourbon,90
adults,40
kids,314
towner,1
katie's,5
disappoints,13
ersters,1
cuban,73
daily,78
hilite,1
offerings,46
sunday's,8
arrival,30
church,13
enjoying,72
bottomless,21
mimosas,29
rowrevtextcame,37
attending,15
zurich,1
golf,12
tournament,3
humid,8
tastier,11
cone,21
lucked,6
sampling,13
unusual,30
scoop,33
cookie,51
monster,9
bc,59
overly,69
creole,31
creamery,5
escargot,7
safety,28
saki,7
mountains,6
sashimi,28
loud,159
saki',1
backyard,13
patience,14
wait',11
rowrevtextit's,57
presentation,81
gumbo,82
sprite,9
flat,74
disorganized,9
pancakes,177
serves,58
rowrevtextwe've,15
watched,41
grow,10
personable,57
yoli,1
frank,23
burro,5
crisp,64
rowrevtext'dinein,1
falls,11
kebab,9
lettuce,87
meat',2
middle,112
eastern,19
tummy,9
happy',2
termini's,1
isgro's,1
hyped,8
potito's,2
xmas,2
stood,58
isgros,1
tirimisu,1
bambino,1
stuffed,129
sounds,42
rowrevtexttruly,4
eatery,9
growing,25
panhandle,1
texas,39
searching,26
limon,2
pennsylvania,5
sopes,3
tostadas,3
enchiladas,43
fajitas,24
tacosall,1
sooooo,9
features,15
tamales,10
margaritas,86
joint,111
material,6
kinks,16
granted,18
errors,3
corrections,2
accommodations,15
yelpers,27
greasy,111
mozzarella,54
quaker,2
steaks,60
chunky,9
season,46
melted,59
ketchup,55
rings,64
breading,29
slide,13
spanakopita,2
mine,105
baklava,22
signature,35
balsamic,21
patty,45
moist,77
tzatziki,15
romaine,12
advertised,21
arugula,21
feta,28
forget,107
stray,2
rowrevtextplanet,1
bang,13
buck,13
motivation,3
bodybuilders,1
women,39
pun,7
intended,10
discrimination,1
tanning,3
sculpt,1
polite,85
rowrevtext'very,52
website,91
sun,41
claims,8
suspect,12
details,25
awareness,3
items',3
rowrevtext'these,7
warranty,18
them',17
rowrevtext'eat,2
stomach',1
delightful,45
transformed,9
carrow's,1
plumb,1
kietzke,2
saved,40
wrecking,1
ball,42
redwood,2
beams,1
fascia,1
tritip,14
vinagrette,1
balanced,23
goodsized,3
slices,75
mediumrare,7
croutons,10
heavenly,23
tritipchicken,1
selecting,9
regularly,45
meringue,5
mudd,1
apple,72
browned,4
done',7
rowrevtextrebecca,1
doula,4
birth,10
nanny,1
months,149
talking,113
pregnant,16
suggestions,61
expectant,1
momma,4
honest,86
truthful,1
trait,1
role,5
plays,12
laboring,1
beauty,22
strength,13
magical,12
rowrevtextrecently,7
tinted,3
orange,82
tint,11
tune,9
miles,46
convenient,102
carlos,2
adjusted,5
grade,14
expressed,7
achieve,4
deserves,40
receptionist,33
dustin,2
rowrevtextstayed,5
property,34
located,144
close,290
airport,59
towneplace,2
suite,48
stove,1
buildings,11
university,34
pima,4
air,88
museum,43
baggins,1
continental,10
weekday,32
evenings,12
complaint,88
diet,38
improve,32
period,21
beds,49
diverted,1
orlando,9
ladies,57
strip,75
gents,1
grill,90
citrus,16
wood,39
smoky,28
smoker,6
woodsmoke,1
mark,40
lisa,13
bookmarking,2
southampton,1
saladworks,4
vastly,6
rowrevtextby,7
yep,9
muffalata,1
thursday,59
dad,44
saguaro,3
ranger,3
carolyn,1
enthusiastic,10
passionate,8
studies,2
carolyn',1
ranging,12
mild,44
yaka,1
mein,18
noonie,1
bird,24
watermelon,8
lord,8
daiquiri,5
skip,54
rowrevtext'back,3
tom,24
jones,17
update,55
odd,50
atm,21
withdraw,1
apply,9
thereused,1
restrooms,18
payphone,2
atm's,1
entrance,43
ribbon,8
bargain,14
includes,33
toast,177
sausage,177
baconjuice,1
daughter's,13
ribbons,1
club,103
smell,81
smoke,64
booths,33
managers,26
thingswhich,1
fave,16
bumping,9
stars',17
amateur,5
athlete,2
ferrel,3
softball,1
severely,7
injured,5
treated,90
field,24
relocating,3
ankle,2
afford,27
mom,91
teacher's,1
salary,1
physician,5
depressed,2
promised,24
healed,2
hero,5
rowrevtext'always,19
entertaining,27
fair,145
go',13
fulfill,4
patties,20
animal,17
style,254
bruh,1
rowrevtext'cindy,1
difference,55
enjoys,10
cuisine',3
rowrevtext'i've,24
reading,79
figured,61
gentleman,35
engage,4
vending,8
listen,42
correct,55
serving,116
pros,26
sheet,9
inedible,28
mac,204
pan,27
steam,17
collard,22
mildly,6
flavored',1
rowrevtext'was,19
nang,1
return',29
rowrevtext'cinco,1
mayo,45
sangria,29
combining,3
ethnicities,1
